Country,Region,HappinessRank_2016,HappinessScore_2016,Economy_2016,Family_2016,Health_2016,Freedom_2016,Trust_2016,Generosity_2016,HappinessRank_2015,HappinessScore_2015,Economy_2015,Family_2015,Health_2015,Freedom_2015,Trust_2015,Generosity_2015,HappinessRank_2017,HappinessScore_2017,Economy_2017,Family_2017,Health_2017,Freedom_2017,Generosity_2017,Trust_2017,HappinessRank_2018,HappinessScore_2018,Economy_2018,Family_2018,Health_2018,Freedom_2018,Generosity_2018,HappinessRank_2019,HappinessScore_2019,Economy_2019,Family_2019,Health_2019,Freedom_2019,Generosity_2019,HappinessRank_2020,HappinessScore_2020,Economy_2020,Family_2020,Health_2020,Freedom_2020,Generosity_2020,HappinessRank_2021,HappinessScore_2021,Economy_2021,Family_2021,Health_2021,Freedom_2021,Generosity_2021,HappinessRank_2022,HappinessScore_2022,Economy_2022,Family_2022,Health_2022,Freedom_2022,Generosity_2022
Afghanistan,South Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,145,3.632,0.332,0.537,0.255,0.085,0.191,154,3.203,0.35,0.517,0.361,0,0.158,153,2.566900015,0.746286058,0.470366955,0.525900002,0.396573007,-0.0964294,149,2.523,0.7695,0.463,0.52493,0.382,-0.102,146,2.404,0.758,0,0.289,0.289,0.289
Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,112,4.586,0.916,0.817,0.79,0.419,0.149,107,4.719,0.947,0.848,0.874,0.383,0.178,105,4.882699966,0.94179306,0.671070457,0.687081375,0.781994224,-0.042309489,93,5.117,0.952,0.697,0.68999,0.785,-0.03,90,5.199,1.439,0.646,0.719,0.719,0.719
Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,84,5.295,0.979,1.154,0.687,0.077,0.055,88,5.211,1.002,1.16,0.785,0.086,0.073,100,5.005099773,0.953796482,0.803385139,0.659051743,0.466610909,-0.121105164,109,4.887,0.9342,0.802,0.66005,0.48,-0.067,96,5.122,1.363,0.97,0.643,0.643,0.643
Angola,Sub-Saharan Africa,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,142,3.795,0.73,1.125,0.269,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0.688038025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,29,6.388,1.073,1.468,0.744,0.57,0.062,47,6.086,1.092,1.432,0.881,0.471,0.066,55,5.974699974,0.981095505,0.900567949,0.667506561,0.831132412,-0.194913864,57,5.929,0.9962,0.898,0.69,0.828,-0.182,57,5.967,1.592,1.102,0.662,0.662,0.662
Armenia,Central and Eastern Europe,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,129,4.321,0.816,0.99,0.666,0.26,0.077,116,4.559,0.85,1.055,0.815,0.283,0.095,116,4.676799774,0.910047627,0.757479429,0.73604538,0.712017834,-0.13877961,86,5.283,0.9487,0.799,0.67055,0.825,-0.168,82,5.399,1.434,0.82,0.668,0.668,0.668
Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,10,7.272,1.34,1.573,0.91,0.647,0.361,11,7.228,1.372,1.548,1.036,0.557,0.332,12,7.222799778,1.072059631,0.944854617,0.730025024,0.915431738,0.19046016,11,7.183,1.0796,0.94,0.739,0.914,0.159,12,7.162,1.9,1.203,0.772,0.772,0.772
Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,12,7.139,1.341,1.504,0.891,0.617,0.242,10,7.246,1.376,1.475,1.016,0.532,0.244,9,7.294199944,1.07428236,0.928045869,0.655084,0.899989486,0.085429221,10,7.268,1.0906,0.934,0.733,0.908,0.042,11,7.163,1.931,1.165,0.774,0.774,0.774
Azerbaijan,Central and Eastern Europe,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,87,5.201,1.024,1.161,0.603,0.43,0.031,90,5.208,1.043,1.147,0.769,0.351,0.035,89,5.164800167,0.968772697,0.819308281,0.685,0.786824107,-0.240255281,90,5.171,0.9569,0.836,0.65656,0.814,-0.223,92,5.173,1.458,1.093,0.56,0.56,0.56
Bahrain,Middle East and Northern Africa,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,43,6.105,1.338,1.366,0.698,0.594,0.243,37,6.199,1.362,1.368,0.871,0.536,0.255,40,6.227300167,1.067638016,0.876342118,0.64503067,0.905855775,0.13372919,22,6.647,1.0669,0.862,0.69495,0.925,0.089,21,6.647,1.854,1.029,0.625,0.625,0.625
Bangladesh,South Asia,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,115,4.5,0.532,0.85,0.579,0.58,0.153,125,4.456,0.562,0.928,0.723,0.527,0.166,107,4.832799911,0.82870636,0.687292993,0.66104332,0.90062499,-0.033664726,101,5.025,0.8454,0.693,0.648,0.877,-0.041,94,5.155,1.06,0.614,0.581,0.581,0.581
Belarus,Central and Eastern Europe,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,73,5.483,1.039,1.498,0.7,0.307,0.101,81,5.323,1.067,1.465,0.789,0.235,0.094,75,5.539899826,0.977994537,0.90674746,0.72001648,0.639163077,-0.164926544,75,5.534,0.9853,0.91,0.66253,0.65,-0.18,65,5.821,1.562,1.157,0.629,0.629,0.629
Belgium,Western Europe,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,16,6.927,1.324,1.483,0.894,0.583,0.188,18,6.923,1.356,1.504,0.986,0.473,0.16,20,6.863500118,1.06736393,0.911632538,0.543124657,0.813582063,-0.078691199,20,6.834,1.0823,0.906,0.72199,0.783,-0.153,19,6.805,1.907,1.106,0.764,0.764,0.764
Belize,Latin America and Caribbean,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,49,5.956,0.807,1.101,0.474,0.593,0.183,0,0,0,0,0,0,0,0,0,0,0,0.636004715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,136,4.141,0.378,0.372,0.24,0.44,0.163,102,4.883,0.393,0.437,0.397,0.349,0.175,86,5.21600008,0.767431974,0.468671143,0.67808136,0.735182583,-0.003537213,99,5.045,0.8087,0.489,0.54713,0.757,-0.034,115,4.623,0.932,0.064,0.335,0.335,0.335
